VoV, VoV Error, DNR, DNR Error 
1, 0.1, 1.47718e+09, 6.82365e+07 
2, 0.1, 2.64652e+09, 1.20622e+08 
3, 0.1, 3.80376e+09, 1.46618e+08 
4, 0.1, 5.93207e+09, 1.91344e+08 
5, 0.1, 9.65957e+09, 2.90058e+08 
6, 0.1, 1.57397e+10, 4.49468e+08 
7, 0.1, 2.84222e+10, 7.25848e+08 
8, 0.1, 5.38175e+10, 1.0517e+09 
