VoV, VoV Error, DNR, DNR Error 
1, 0.1, 7.13249e+08, 5.56185e+07 
2, 0.1, 1.38115e+09, 9.98812e+07 
3, 0.1, 1.96973e+09, 9.66321e+07 
4, 0.1, 3.61326e+09, 1.4051e+08 
5, 0.1, 5.98206e+09, 2.18601e+08 
6, 0.1, 9.87059e+09, 3.89732e+08 
7, 0.1, 1.9773e+10, 6.60393e+08 
8, 0.1, 3.71119e+10, 7.83068e+08 
