[0mroot [6] TPulse->Scan("trigtime:time:ToT"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"trigtime:time:ToT"[0m[38;5;83m[1m)
[0m***********************************************************
*    Row   * Instance *  trigtime *      time *       ToT *
*      129 *        0 *         0 *      4238 *        83 *
*      130 *        0 *         0 *      4232 *        83 *
*      131 *        0 *         0 *      4232 *        83 *
*      132 *        0 *         0 *      4234 *        83 *
*      133 *        0 *         0 *      4232 *        83 *
*      134 *        0 *         0 *      4234 *        84 *
*      135 *        0 *         0 *      4234 *        83 *
*      136 *        0 *         0 *      4239 *        83 *
*      137 *        0 *         0 *      4231 *        84 *
*      138 *        0 *         0 *      4234 *        83 *
*      139 *        0 *         0 *      4233 *        83 *
*      140 *        0 *         0 *      4237 *        84 *
*      141 *        0 *         0 *      4233 *        83 *
*      142 *        0 *         0 *      4237 *        83 *
*      143 *        0 *         0 *      4232 *        83 *
*      144 *        0 *         0 *      4239 *        83 *
*      145 *        0 *         0 *      4235 *        83 *
*      146 *        0 *         0 *      4233 *        83 *
*      147 *        0 *         0 *      4235 *        83 *
*      148 *        0 *         0 *      4237 *        83 *
*      149 *        0 *         0 *      4237 *        84 *
*      150 *        0 *         0 *      4233 *        84 *
*      151 *        0 *         0 *      4236 *        83 *
*      152 *        0 *         0 *      4233 *        84 *
*      153 *        0 *         0 *      4239 *        83 *
*      154 *        0 *         0 *      4237 *        83 *
*      155 *        0 *         0 *      4237 *        84 *
*      156 *        0 *         0 *      4234 *        83 *
*      157 *        0 *         0 *      4233 *        83 *
*      158 *        0 *         0 *      4236 *        83 *
*      159 *        0 *         0 *      4233 *        84 *
*      160 *        0 *         0 *      4340 *        84 *
*      160 *        1 *         0 *      4445 *        83 *
*      161 *        0 *         0 *      4239 *        83 *
*      162 *        0 *         0 *      4238 *        83 *
*      163 *        0 *         0 *      4234 *        83 *
*      164 *        0 *         0 *      4233 *        83 *
*      165 *        0 *         0 *      4235 *        83 *
*      166 *        0 *         0 *      4703 *        83 *
*      166 *        1 *         0 *      5166 *        83 *
*      167 *        0 *         0 *      4234 *        84 *
*      168 *        0 *         0 *      4235 *        83 *
*      169 *        0 *         0 *      4235 *        83 *
*      170 *        0 *         0 *       228 *        83 *
*      170 *        1 *         0 *      5337 *        83 *
*      171 *        0 *         0 *      4238 *        83 *
*      172 *        0 *         0 *      4237 *        83 *
*      173 *        0 *         0 *      4234 *        84 *
*      174 *        0 *         0 *      4236 *        83 *
*      175 *        0 *         0 *      4232 *        83 *
*      176 *        0 *         0 *      4236 *        83 *
*      177 *        0 *         0 *      4466 *        83 *
*      177 *        1 *         0 *      4702 *        84 *
*      178 *        0 *         0 *      4232 *        83 *
*      179 *        0 *         0 *      4239 *        83 *
*      180 *        0 *         0 *      4238 *        83 *
*      181 *        0 *         0 *      4237 *        84 *
