VoV, VoV Error, DNR, DNR Error 
1, 0.1, 3.46986e+09, 1.27308e+08 
2, 0.1, 5.60061e+09, 1.8681e+08 
3, 0.1, 8.21781e+09, 2.48424e+08 
4, 0.1, 1.1728e+10, 3.33837e+08 
5, 0.1, 1.84189e+10, 4.63388e+08 
6, 0.1, 2.71195e+10, 6.19522e+08 
7, 0.1, 4.49064e+10, 9.28055e+08 
8, 0.1, 7.40305e+10, 1.37082e+09 
