VoV, VoV Error, DNR, DNR Error 
1, 0.1, -7.32674e+07, 6.79296e+06 
2, 0.1, 1.52765e+08, 9.48079e+06 
3, 0.1, 3.74163e+08, 7.82725e+06 
4, 0.1, 7.3927e+08, 1.16517e+07 
5, 0.1, 1.42029e+09, 2.05666e+07 
6, 0.1, 2.91257e+09, 1.15963e+09 
7, 0.1, 6.96325e+09, 6.6347e+07 
8, 0.1, 1.73949e+10, 1.18255e+08 
