VoV, VoV Error, DNR, DNR Error 
1, 0.1, 2.26786e+08, 9.04723e+06 
2, 0.1, 5.48883e+08, 9.01701e+06 
3, 0.1, 9.35962e+08, 1.41331e+07 
4, 0.1, 1.60982e+09, 2.27378e+07 
5, 0.1, 3.07677e+09, 3.86463e+07 
6, 0.1, 5.8964e+09, 6.05704e+07 
7, 0.1, 1.22048e+10, 6.94275e+07 
8, 0.1, 2.75874e+10, 1.16721e+08 
